갈비다,겨누다,,
갈비뻬,갈비뼈,,
갈비삐,갈비뼈,,
갈시마,남서풍,,
갈실갈실허다,간질간질하다,,
갈아지다,갈리다,,
갈아지다,갈리다,,
갈앙그다,가라앉다,,
갈앙따,가라앉다,,
갈앙치다,가라앉히다,,
갈어지다,갈리다,,
갈일치다,가을하다,,
갈체다,가르치다,,
갈쳉이,사시랑이,,
갈초,봉초,,
갈촤주다,가르치다,,
갈치기손구락,집게손가락,,
갈친손가락,집게손가락,,
갈친손구락,집게손가락,,
갈침,가르침,,
갈케주다,가르치다,,
갈코쟁이,갈고랑이,,
갈콩가지,갈고랑이,,
갈쾨이,갈고리,,
갈쾽이,갈고랑이,,
갈쿠,갈고리,,
갈쿠,갈퀴,,
갈쿠나무,갈퀴나무,,
갈쿠랭이,갈고랑이,,
갈쿠리,갈고리,,
갈쿠리,갈퀴,,
갈쿠리질,갈퀴질,,
갈쿠막,가풀막,,
갈쿠제이,갈고리,,
갈쿠질,갈퀴질,,
갈퀴,갈고리,,
갈큉이,갈고리,,
갈크막,가풀막,,
갈키,갈기,,
갈키,갈고리,,
갈키나무,갈퀴나무,,
갈키다,가르치다,,
갈키다,가리키다,,
갈키다,할퀴다,,
갈키밥,갈퀴로 긁은 검불이나 갈잎 등을 이르는 말,,
갈키질,갈퀴질,,
갈퍼레눈,함박눈,,
갈포래,갈파래,,
갉아묵다,갉아먹다,,
감,가뭄,,
감그,감기,,
감기돌게,감기,,
감똘개,감또개,,
감마솟,가마솥,,
감발치다,감발하다,,
감베기,깜부기,,
감성어,감성돔,,
감성이,감성돔,,
감셍됨,감성돔,,
감셍이,감성돔,,
감심지,감으로 담근 김치,,
감씨,공알,,
감악살이,감옥살이,,
감자,고구마,,
감자쭉대기,고구마의 줄기,,
감자쭐거리,고구마의 줄기,,
감자찔고리,고구마의 줄기,,
감잣대,고구마의 줄기,,
감재,감자,,
감재순,고구마의 줄기,,
감재쭉대기,고구마의 줄기,,
감재찔고리,고구마의 줄기,,
감잿대,고구마의 줄기,,
감제,고구마,,
감주,감자,,
감짝같이,감쪽같이,,
감쩝같다,감쪽같다,,
감차다,감추다,,
감치다,겹질리다,,
감치다,감추다,,
감치자,홍시,,
감치차,홍시,,
감태기,감태,,
감토,방한모,,
감투,방한모,,
감투다,삐다,,
감트다,감투,,
감푸다,다루기가 힘들다,,
감홍수,홍시,,
감홍시,홍시,,
갑,삯,,
갑,값,,
갑,동갑,,
갑기,갑계,,
갑내다,치르다,,
갑다,가볍다,,
갑시,값,,
갑자게,갑자기,,
갑자끼,갑자기,,
갑재기,갑자기,,
갑재키,갑자기,,
갑저키,갑자기,,
갑짜리,값나가는 물건,,
갑짜리,동갑,,
값아치,값어치,,
갓,가<DR /> 제주 지역에서는 ’으로도 적는다.,,
갓금,멧갓,,
갓난애기,갓난아기,,
갓내,암내,,
갓네,암내,,
갓다리,가짜,,
갓다리,곁다리,,
갓동,갓,,
갓똥,갓,,
갓망셍이,갓망건,,
갓모,갈모,,
갓버설,갓버섯,,
갓버실,갓버섯,,
갓부치다,교미를 붙이다,,
갓붙이다,흘레붙이다,,
갓지,갓김치,,
갓짐치,갓김치,,
강,바다,,
강갓,강가,,
강개미,가오리,,
강고등어,가다랑어,,
강구,그리마,,
강그라지다,자지러지다,,
강그라지다,가무러지다,,
강그러지다,자지러지다,,
강그러지다,가무러지다,,
강글다,야무지다,,
강까마기,갈까마귀,,
강께,그러니까,,
강꼿,바닷물에 몸을 담근 후 닦거나 씻지 않아 바닷물이 그대로 말라서 생긴 하얀 소금을 비유적으로 이르는 말,,
강낭,강냉이,,
강내이,강냉이,,
강내잇대,옥수숫대,,
강냉이되비,옥수수,,
강냉이튀밥,강냉이,,
강냉이티밥,강냉이,,
강눈밥,누룽지,,
강둥하다,강동하다,,
강물,바닷물,,
강벤,강변,,
강새비,대하,,
강새이풀,강아지풀,,
강생이,강아지,,
강솔,관솔,,
강신,쥐,,
강아,광어,,
강아지새끼,강아지,,
강에,광어,,
강조롱이,가지런히,,
강지미,가오리,,
강짜,진짜,,
강쩌,강짜,,
강체,표,,
강추,강추위,,
강치,강추위,,
강태미로,깡그리,,
갖고다,가져오다,,
갖고오다,가져오다,,
갖구오다,가져오다,,
갖다,가즈럽다,,
갖인,갖은,,
같잔허다,같잖다,,
개,호주머니,,
개감,고욤,,
개겁다,가볍다,,
개고락지,개구리,,
개고랑창,개골창,,
개고래기,개구리,,
개고리,가오리,,
개고리,개골창,,
개고지,자치기,,
개고지막대기,자치기를 할 때 쓰는 긴 막대기,,
개골물,개울물,,
개골창,개울,,
개골태기,개구리,,
개구녁받이,개구멍받이,,
개구다리,절름발이,,
개구래기,개구리,,
개구리밥,물망초,,
개구마리,개고마리,,
개구지다,짓궂다,,
개굴창,개울,,
개굴태기,개구리,,
개굽다,가볍다,,
개글개글,개굴개굴,,
개금,개암,,
개금재,해초,,
개급다,가볍다,,
개긴개긴허다,음식에 간이 들지 않아 감칠맛이 적다,,
개깝다,가깝다,,
개꼬리,가라지,,
개꼬사리,잔고사리,,
개꼬지막대기,자치기를 할 때 쓰는 긴 막대기,,
개꼬지새끼,자치기를 할 때 쓰는 작은 막대기. 양 끝을 서로 반대 방향으로 비스듬하게 깎아 긴 막대기로 치면 튀어 오르게 만든다,,
개꼿,개꽃,,
개꼿짱다리,철쭉의 뿌리,,
개나리꼿,나리꽃,,
개나리꼿,백합,,
개내기,개막이,,
개네기,개막이,,
개념하다,괘념하다,,
개노릇,학질,,
개다,가다,,
개다,땀을 식히고 쉬다,,
개다니,고양이,,
개다리,앞잡이,,
개다리,자치기,,
개동백,사철나무,,
개동백사리,사스래나무,,
개득,이해,,
개떵벌거지,개똥벌레,,
개똥끄랭이,개똥망태,,
개똥끄렁지,개똥망태,,
개똥버러지,반딧불이,,
개똥버럭지,반딧불이,,
개똥벌,개똥벌레,,
개똥벌가지,개똥벌레,,
개똥벌거지,반딧불이,,
개란정,가려움증,,
개란증,가려움증,,
개랍다,가렵다,,
개럽다,가렵다,,
개레내다,가려내다,,
개레내다,발라내다,,
