어휘,뜻풀이
구이머거리,귀머거리
구이먹다,귀먹다
구이밥,귓밥
구이불알,귓불
구이속,귀지
구이신,귀신
구이지개,귀이개
구이창,귀청
구이후비개,귀이개
구적구적,구질구질
구정물,뜨물
구죽죽,구질구질
구지,귀지
구지개,귀이개
구질더분하다,구저분하다
구짓말,거짓말
구찌랑물,지지랑물
구찌스랑,기스락
구찬하다,가난하다
구탈,구박
구태어,구태여
구탱이,모서리
구탱이,구석
구테이,귀퉁이
구텡이,귀퉁이
구퇴어,구태여
구퉁배기,뺨따귀
구퉁이,귀퉁이
구티이,귀퉁이
구팅이,귀퉁이
구페,글피
국그시렁물,낙숫물
국말국,국물
국멀국,국물
국시,국수
국지이,극젱이
국징이,극젱이
군녁,구멍
군녕,구멍
군두,그네
군두박질,곤두박질
군두배기,곤두박질
군두백질,곤두박질
군뒤,그네
군등내,군내
군디,그네
군디바개,밑싣개
군딧바개,밑싣개
군살,굳은살
굴구르륵,꿀꿀
굴권,굴건
굴근지복,굴건제복
굴급다,굵다
굴따,굵다
굴똑,굴뚝
굴러바뀌,굴렁쇠
굴렁시,굴렁쇠
굴루다,구르다
굴림쇠,굴렁쇠
굴밤,도토리
굴밤,상수리
굴밤낭기,굴밤나무
굴배이,굴비
굴축스럽다,괴팍스럽다
굴품하다,궁금하다
굵은바늘,돗바늘
굼방대,곰방대
굼베이,굼벵이
굼빙이,굼벵이
굽다,굵다
굽도로지,굽도리지
굽도지,굽도리
굽돌지,굽도리지
굽두리,굽도리
굽이다,굽히다
굽인도리,모퉁이
굿잠,귀잠
굿재이,무당
굿지비,귀제비
궁경,구멍
궁구레미,굴렁쇠
궁구리,굴렁쇠
궁굴레미,굴렁쇠
궁굴레바퀴,굴렁쇠
궁굴쇠,굴렁쇠
궁굴통,탈곡기
궁굴패,굴렁쇠
궁그랗다,궁글다
궁그레미,굴렁쇠
궁글리다,굴리다
궁글쇠,굴렁쇠
궁글이다,굴리다
궁글통,탈곡기
궁글패,굴렁쇠
궁기,구멍
궁덩방아,궁둥방아
궁데이,궁둥이
궁뎅이,궁둥이
궁뎅이방아,궁둥방아
궁뎅이방애,궁둥방아
궁두이,궁둥이
궁뒹이,궁둥이
궁디이,궁둥이
궁딩이,궁둥이
권디,그네
권토,권투
궤다,괴다
궤다,꿰다
궤비,고비
궤암,고함
궤이,궤연
귀,게
귀겨지다,구겨지다
귀결이,귀걸이
귀경,구경
귀고래기,귀고리
귀구넝,귓구멍
귀기다,구겨지다
귀기다,구기다
귀농사,귀동냥
귀데기,구더기
귀디기,구더기
귀때래미,귀뚜라미
귀뚜라기,귀뚜라미
귀뚜래미,귀뚜라미
귀뚜러미,귀뚜라미
귀뜨라미,귀뚜라미
귀뜨래미,귀뚜라미
귀매기,귀
귀먹쟁이,귀머거리
귀먹초,귀머거리
귀미리,귀리
귀미티,귀밑
귀바키,귓바퀴
귀배기,귀이개
귀보리,귀리
귀부개,귀이개
귀불알,귓불
귀비,고비
귀속,귀지
귀싸개,귀마개
귀쌰대기,귀싸대기
귀쌰머리,귀싸대기
귀쑤시개,귀이개
귀앵이,고양이
귀에,게
귀연,추녀
귀염낭,염낭
귀욍이,고양이
귀우개,귀이개
귀우비개,귀이개
귀우지개,귀이개
귀유개,귀이개
귀이,게
귀자리,구더기
귀재,그을음
귀젓,귀지
귀지떡,증편
귀창,귀청
귀창,귀지
귀청,귀지
귀체,귀청
귀체이,귀청
귀총,귀지
귀통,귀지
귀투이,귀퉁이
귀팝개,귀이개
귀후개,귀이개
귀후비개,귀이개
귀후지개,귀이개
