어휘,뜻풀이
저후년,내후년
적벽,절벽
적세,석쇠
적쇠,석쇠
적수,석쇠
전노리,곁두리
전다지,다른 것이 섞이지 아니하고 고스란히
전분,젓가락
전수,전부
전아,전화
전접스럽다,천박하고 추한 데가 있다
전지랑물,지지랑물
젇다,겯다
절,젓가락
절,겨울
절고,절구
절구다,절이다
절구때,절굿공이
절구땡이,절굿공이
절구방앗괴이,절굿공이
절굿대이,절굿공이
절굿대질,절구질
절굿댕이,절굿공이
절루,절로
절룩파리,절름발이
절룸발,절름발
절무,깍두기
절벅,절벽
절우,절후
절이,절후
절판,결판
젊운내,젊은이
점드락,저물도록
점선,점심
점슴밥,점심밥
점재이,점쟁이
접것,겹옷
접문,덧문
접바지,겹바지<DR /> 제주 지역에서는 바지’로도 적는다.
접박,바가지
접옷,겹옷<DR /> 제주 지역에서는 옷’으로도 적는다.
접이불,겹이불<DR /> 제주 지역에서는 이불’로도 적는다.
접체,겹체
접치다,겹치다
젓갈구지,곁가지
젓거리,곁두리
젓것,곁두리
젓두리,곁두리
젓밥,곁두리
젓탱이,젖퉁이
젓통이,젖퉁이
정각,박수
정각쟁이,박수
정거정,정거장
정구정,정거장
정구지,부추
정구통,절구통
정기하다,경기하다
정대,경대
정배기,정수리
정수배기,정수리
정재,정주
정지,부엌
정지고물개,불고무래
정칩,정첩
젖,젓
젖멕이,젖먹이
젙,곁
젙가닥지,곁가지
젙가쟁이,곁가지
젙나리,곁두리
젙너리,곁두리
젙노리,곁두리
젙누리,곁두리
젙눈,곁눈
젙눈질,곁눈질
젙다리,곁다리
젙두리,곁두리
젙문,곁문
젙불,곁불
젙순,곁순
젚다,싶다
제,겨
제,죄
제것,거위
제금나다,따로나다
제넉밥,저녁밥
제녁밥,저녁밥
제년,작년
제돌,일주년
제물이국수,제물국수
제미,기미
제봅,제법
제부,제비
제비허리,개미허리
제우,겨우
제절로,저절로
제절루,저절로
젠,주인
젤이다,절이다
젭혀지다,접히다
젭히다,접히다
젱겟둑,밭둑
조각마루,툇마루
조개비,조가비
조개비,쪼가리
조고리,저고리
조고발,발채
조기,저기
조끼주머니,귀주머니
조래미질,조리질
조래이,조리
조래이박,조롱박
조랭이,조리
조럽다,졸리다
조보롭다,졸리다
조부람,졸음
조불조불,조랑조랑
조브랍다,졸리다
조브장하다,조붓하다
조블리다,졸리다
조빡,바가지
조선무수,조선무
조선장물,조선간장
조약,자갈
조얌조얌,죄암죄암
조얌조얌,죄암죄암
조으름,졸음
조이,종이
조자앉다,팔다리를 오그려 몸을 작게 옴츠리고 앉다
조쟁이,운두가 낮고 배가 밋밋한 오지독
조조거리다,종알거리다
조짝,조쪽
조추개,고명
조희,종이
조히,종이
족박샘,박우물
족박샴,박우물
존존히,곰곰이
졸,부추
졸근박,조롱박
졸렵다,졸리다
졸림,졸음
졸몃졸몃,조릿조릿
졸몃졸몃하다,조릿조릿하다
졸몃졸몃하다,조릿조릿하다
졸밋거리다,쫄밋거리다
졸밋거리다,조릿거리다
졸밋대다,쫄밋대다
졸밋대다,조릿대다
졸보이다,낮보이다
졸움,졸음
졸토뱅이,졸보
좀벌레,좀
좀상맞다,좀스럽다
좀윷,밤윷
좀차람,좀처럼
좁박,쪽박
종고래기,종구라기
종고리,종구라기
종구락,바가지
종구락바가치,종구라기
종구래기,종구라기
종그라기,종구라기
종그락,바가지
종그래기,바가지
종그래기,종지
종낭,처마
종다루,목말
종다리,장다리무
종다리,목말
종다리끼,종다래끼
종발,종지
종발윳,종지윷
종배기,종지
종잣베,볍씨
종잣벼,종자벼
종재기,종지
종주할아버지,종조할아버지
종히,종지
좌쇄,자새
좜좜,죔죔
좜좜,죔죔
좡강,장독대
좡광,장독대
좩,자갈
좸좸,죔죔
좸좸,죔죔
죄끼,조끼
죄끼주머니,주머니
죈,주인
죔처럼,좀처럼
죙이,종이
주간,정주간
주걱젱이,주걱
주군깨,주근깨
주근꽤,주근깨
주금깨,주근깨
주녀니콩,쥐눈이콩
주데이,주둥이
주뎅이,주둥이
주두아리,주둥이
주둥멍,부리망
주둥몽,부리망
주둥패기,주둥아리
주등빼기,부리
주등이,주둥이
주디,주둥이
주딩이,주둥이
주룸살,주름살
주리끼다,끼다
주리찌다,끼다
주머,주머니
주머기,움큼
주머니섹경,손거울
주먹눈,함박눈
주먼지,주머니
주메기,움큼
주몃거리다,서슴거리다
주몃주몃,서슴서슴
주몃주몃하다,서슴서슴하다
주모쟁이,구두쇠
주법,주걱
주불주불,주절주절
주사우,주사위
주지기,두더지
주척,선뜻
주천스럽다,주체스럽다
주촛돌,주춧돌
주춧독,주춧돌
죽,줄기
죽가래,서까래
죽절이,죽절
준,주인
준디기,진드기
줄,꾸러미
줄,귤
줄가리치다,논둑이나 논바닥에 볏단을 일렬로 세우다
줄거리,줄기
줄검지,줄기
줄겁다,즐겁다
줄구다,줄이다
줄나람이,줄느런히
줄불나다,거듭되다
줄장대,바지랑대
줄짱대,바지랑대
줅,겨울
줌방,징두리
줏다,줍다
중간체,굵은체
중거럼,중거름
중거리,굵은체
중게기,중고기
중게미,중고기
중괴기,중고기
중도막,중동
중뿔나다,거듭되다
중어리,둥우리
중위,바지
중타리,중고기
중태,중고기
중태기,중고기
중태미,중고기
중터리,중고기
중피리,중고기
중핵교,중학교
줴암줴암,쥐엄쥐엄
줴암줴암,쥐엄쥐엄
쥄쥄,죔죔
쥄쥄,죔죔
쥐드기,두더지
쥐디기,두더지
쥐부시럼,쥐부스럼
쥐뿔놀이,쥐불놀이
쥐안,주인
쥐앙구멍,쥐구멍
쥐앰쥐앰,쥐엄쥐엄
쥐앰쥐앰,쥐엄쥐엄
쥐인,주인
쥐채기,쥐덫
쥐치기,쥐덫
쥑이다,죽이다
쥔양반,주인
쥘막대,손에 잡기 편한 나무 막대
쥘목,손에 잡기 편한 나무 막대
쥥,중
즈국,저곡
즈금,저금
즈금통,저금통
즈금통장,저금통장
즈녁,저녁
즉다,작다
즉성,적성
즉은슬,작은설
즌각,전각
즌골,전골
즌과,전과
즌과자,전과자
즌구,전구
즌기,전기
즌기공,전기공
즌기쟁이,전기공
즌날,전날
즌낭구,전나무
즌단,전단
즌달하다,전달하다
즌당포,전당포
즌대,전대
즌동기,전동기
즌동차,전동차
즌력,전력
즌령,전령
즌망,전망
즌반,인두판
즌방,점방
즌보산대,전봇대
즌봇대,전봇대
즌부,전부
즌부,전부
즌빵,점방
즌선,전선
즌신,전신
즌어,전어
즌자밥통,전기밥솥
즌접스럽다,천박하고 추한 데가 있다
즌주,전주
즌차,전차
즌철,전철
즌축,전축
즌파사,전파사
즏다,겯다
즐,겨울
즐벽,절벽
즑,겨울
즘매다,잡아매다
즘슨,점심
즘신,점심
즘심,점심
즘심밥,점심밥
즘심참,점심참
즛다,젓다
증갈하다,정갈하다
증구지,부추
증대,경대
증말,정말
증말,정말
증반대,정반대
증상,정상
증식,정식
증심,점심
증오,정오
증자,정자
증자낭구,정자나무
증작,막상
증좌,정좌
증지,부엌
증지간,부엌
증직하다,정직하다
증하다,정하다
증확하다,정확하다
지,제
지,죄
지,쥐
지,쥐
지개미,비듬
지거하다,제거하다’ 방언
지검지,지게미
지게,벼훑이
지게귀신,"지게를 떠나지 못하는 귀신과 같은 처지라는 뜻으로, 농사꾼을 면하지 못하는 신세를 비유적으로 이르는 말"
지게꼴삐,지게꼬리
지게뿌다구,새고자리
지게뿔,새고자리
지게작대기,바지랑대
지경살이,지경
지구녕,숫구멍
지긋덥다,지긋지긋하다
지기,제기
지깔이다,지껄이다
지껑지껑,곤지곤지
지께지께,곤지곤지
지께지께,곤지곤지
지끔,지금
지끔,지금
지네,기미
지녁,저녁
지누깨비,진눈깨비
지누레미,지느러미
지눈깨비,진눈깨비
지느깨비,진눈깨비
지느레미,지느러미
지느르미,지느러미
지니깨비,진눈깨비
지다,맺히다
지다,쥐다
지다,깁다
지다,죄다
지다려지다,어떤 사람이나 때가 오기를 바라는 마음이 생기다
지다리다,기다리다
지다맣다,기다랗다
지달리다,기다리다
지대다,기대다
지대미호,달구질
지동,지동
지두리,지도리
지두리다,기다리다
지둘러지다,어떤 사람이나 때가 오기를 바라는 마음이 생기다
지둘려지다,어떤 사람이나 때가 오기를 바라는 마음이 생기다
지둘르다,기다리다
지드근하다,진득하다
지드랗다,기다랗다
지랑,간장
지래,지라
지랭이,간장
지량,간장
지량물,지랑물
지러기,기러기
지럼,기름
지렁물,간장
지렁물,지지랑물
지레기,길이
지레기,기러기
지레미,길이
지렝이,지렁이
지려물다,사리물다
지루다,기르다
지룩하다,질척하다
지룩하다,걸다
지르니미,지느러미
지르다,기르다
지르러미,지느러미
지르마,길마
지르숙다,기울어지다
지륵지,길이
지른내,지린내
지름떡,기름떡
지름콩,기름콩
지름하다,갸름하다
지름하다,질척하다
지름하다,걸다
지름하다,지직하다
지리기,길이
지리기,기러기
지메,기미
지미,기미
지밥,젯밥
지뱅,지붕
지뱅이,제비
지벅지벅,지금지금
지범,자밤
지벙,지붕
지봉,지붕
지부,제비
지불놀이,쥐불놀이
지붕날망,용마루
지붕날맹이,용마루
지붕치마,처마
지비,제비
지비꽃,제비꽃
지비따개,밑싣개
지비빠개,밑싣개
지비뽑기,제비뽑기
지선,깃
지설,깃
지송하다,죄송하다
지수,제수
지스락물,낙숫물
지스랑물,낙숫물
지스렛물,낙숫물
지슬가지,기슭
지슬가치,기슭
지슬각,기슭
지슬각지,기슭
지슬거지,기슭
지슬기,기슭
지슭,기슭
지슴,김
지슴매다,김매다
지슴잡다,김매다
지시다,계시다
지시락,기스락
지시락물,낙숫물
지시래기,기스락
지시미,기미
지실가지,기슭
지실강,기슭
지실개미,기슭
지실갱이,기슭
지실까지,기슭
지실들다,동물이나 식물이 어떤 재앙 때문에 잘 자라지 못하다
지심매다,김매다
지심풀,김
지아,기와
지악박이,악착이
지애집,기와집
지야,기와
지야집,기와집
지얏장,기왓장
지엄지엄,쥐엄쥐엄
지엄지엄,쥐엄쥐엄
지와,기와
지와집,기와집
지우,겨우
지우,목수
지우다,깁다
지운,김
지울,김
지울다,기울다
지울어지다,기울어지다
지웃지웃,기웃기웃
지음,김
지자,제자
지장,기장
지재미질,달구질
지재미호,달구질
지저겁지,지저깨비
지저구,기저귀
지저귀,기저귀
지저기,기저귀
지적지,기저귀
지절로,저절로
지점지점,지적지적
지점지점하다,지적지적하다
지접아,계집애
지져맡기다,처맡기다
지주감자,고구마
지줄대다,재잘대다
지증하다,기증하다
지지굴거리다,재잘거리다
지지굴지지굴,재잘재잘
지지려빠지다,사람이 변변하지 못하고 졸렬하다
지지리빠지다,사람이 변변하지 못하고 졸렬하다
지지미질,달구질
지지미호,달구질
지짐거리다,짐짐하다
지집방텅구리,계집아이
지집아,계집애
지집애,계집애
지쪽새,소쩍새
지처러기,지스러기
지청귀,지청구
지축지축,쭈뼛쭈뼛
지축지축하다,쭈뼛쭈뼛하다
지치기,재채기
지치다,시치다
지치라기,지스러기
지치러기,지스러기
지침,기침
지키미,업구렁이
지트럼,트림
지파이,지팡이
지팡막대기,지팡이
지팽막대,지팡이
지팽막대기,지팡이
지팽히,지팡이
지푸다,깊다
지풀이,제풀에
지해기,새꽤기
지홧장,기왓장
지홰기,새꽤기
직간,측간
직수굿하다,지긋하다
진,긴
진,주인
진갈눈,진눈깨비
진걸음,느리게 걷는 걸음
진관다리,풍물
진구랑창,진구렁
진누깨배,진눈깨비
진누깨비,진눈깨비
진눈가비,진눈깨비
진느리미,지느러미
진는깨비,진눈깨비
진달래꽃술,진달래술
진달래주,진달래술
진달리,진달래
진달리꽃술,진달래술
진달리술,진달래술
진당,진짜
진대,뱀
진댓물,진딧물
진동깨비,진눈깨비
진동생,여동생의 남편을 이르는 말
진두깨비,진눈깨비
진둥개비,진눈깨비
진드물,진딧물
진디,진드기
진디기,진드기
진딩이,진드기
진뜨물,진딧물
진버둠,진버짐
진버듬,진버짐
진버즘,진버짐
진보짐,진버짐
진손구락,가운뎃손가락
진수렁,진창
진장,간장
진조밥,깨어져 산산이 부서지거나 박살이 난 것을 비유적으로 이르는 말
진진,곤지곤지
진짐성,긴짐승
진흑,진흙
질,길
질,길
질,길
질갱이,질경이
질거름,길
질거이,질경이
질걸,길
질겅이,질경이
질겨이,질경이
질고래비,길잡이
질구다,기르다
질그렝이,질경이
질그링이,질경이
질기,질경이
질깅이,질경이
질꺼름,길거리
질껄,길거리
질다,길다
질들이다,길들이다
질뚝배기,절뚝발이
질래,끝내
질르다,기르다
질른개비,진눈깨비
질리다,기르다
질마고개,길마처럼 경사가 급한 고개
질마재,길마처럼 경사가 급한 고개
질벗,길벗
질빵거리,도깨비바늘
질삐,질빵
질소,팔러 가거나 팔려 가느라고 먼 길을 가는 소
질지사,노제
질치,길치
질턱하다,질퍽하다
질품,길품
질화루,질화로
질흘,질흙
짐,기미
짐,김
짐빠,길마
짐성,짐승
짐슴,점심
짐장,간장
짐찟,짐짓
짐채멀국,김칫국
짐치,김치
짐치국,김칫국
짐치국,나박김치
짐치국물,김칫국
짐치말국,김칫국
짐치밥,김치밥
집,짚
집게손구락,집게손가락
집꽤기,새꽤기
집다,깁다
집말레,용마루
집세기,짚신
집손구락,집게손가락
집쇄기,짚신
집시기,짚신
집을가락,집게손가락
집짐성,집짐승
집채,벼훑이
집홰미,새꽤기
짓,깃
짓다,나무나 풀 따위가 매우 무성하게 나다
짓다,깁다
짓상,제상
짓잎,시원치 않은 배춧잎이나 무청을 소금으로만 간을 하여 익힌 김치
짓잎국,절인 배춧잎이나 절인 무청을 삭힌 것으로 끓인 국
짓잎죽,절인 배춧잎이나 절인 무청을 삭힌 것을 넣고 끓인 죽
징갈미,진눈깨비
징검다리,소금쟁이
징검새,새우
징검새우,징거미새우
징게미,지게미
징게미,징거미
징그미,징거미
징기미,징거미
징지징지,곤지곤지
징지징지,곤지곤지
짚가래,짚가리
짚누리,짚가리
짚다,깊다
짚서기,짚신
짚석,짚신
짚수시미,짚수세미
짚시기,짚신
짚썩은물,지지랑물
짚테미,짚단을 여러 개 쌓아 놓은 더미
짚토매,짚가리
짚티미,짚단을 여러 개 쌓아 놓은 더미
짚해기,짚홰기
짛다,깁다
짜강짜강,곤지곤지
짜강짜강,곤지곤지
짜겁다,짜다
짜국,자국
짜굽다,짜다
짜깡짜깡,곤지곤지
짜깡짜깡,곤지곤지
짜꽁짜꽁,곤지곤지
짜꽁짜꽁,곤지곤지
짜꾸,자국
짜끔,조금
짜끔,조금
짜릅다,짧다
짜리,자루
짜아,장어
짜어,장어
짜짜구리,딱따구리
짜쯧하다,자칫하다
짜찟하다,자칫하다
짜투레기,우수리
짜투리,우수리
짜트레기,자투리
짝,쪽
짝다,작다
짝대기,작대기
짝두,작두
짝두샴,펌프
짝새,덫
짝짜꽁,짝짜꿍
짝짜꾸짝짜꾸,짝짜꿍짝짜꿍
짝짜꾸짝짜꾸,짝짜꿍짝짜꿍
짝짱짝짱,짝짜꿍짝짜꿍
짝짱짝짱,짝짜꿍짝짜꿍
짠나비,원숭이
짠지말국,김칫국
짤,잘
짤루막하다,짤막하다
짤룹다,짧다
짤르다,짧다<DR /> 제주 지역에서는 르다’로도 적는다.
짤르다,자르다
짤릅다,짧다
짤흑,진흙
짤흙,찰흙
짬구다,잠그다
짬마리,잠자리
짬매다,잡아매다
짬자리,잠자리
짬쨈이,짬짬이
짭주지,잡좆
짯짯이,낱낱이
짱구벌거지,장구벌레
짱구벌레,장구벌레
짱두리,장도리
짱아치,장아찌
째,때
째강째강,곤지곤지
째강째강,곤지곤지
째금,조금
째금,조금
째깡째깡,곤지곤지
째깡째깡,곤지곤지
째끄맣다,쪼그맣다
째끔,조금
째끔,조금
째끼,조끼
째다,실력이 부족하여 불리하다
째만하다,조그마하다
째부,째보
짹,짝
짼보,째보
쨈매다,잡아매다
쩍다,작다
쩍삼,적삼
쩔구,절구
쩔두발이,절름발이
쩔둑발이,절름발이
쩔뚜발이,절름발이
쩔뚝발,절름발
쩔뚝배기,절름발이
쩔름발,절름발
쩜매다,잡아매다
쩟갈,젓갈
쩨껴,조끼
쩨꾜,조끼
쩿기다,쫓기다
쪄안다,껴안다
쪄입다,껴입다
쪼가리짠지,깍두기
쪼각배,조각배
쪼개다,쪼그리다
쪼구,조기
쪼기,조기
쪼꼼,조금
쪼꼼,조금
쪼끼,조끼
쪼끼주머니,귀주머니
쪼끼주머이,귀주머니
쪼란히,가지런히
쪼롱박,조롱박
쪼리,부추
쪼만하다,쪼그마하다
쪼매,조금
쪼매,조금
쪼봇하다,조붓하다
쪼붓하다,조붓하다
쪼브장하다,조붓하다
쪼븝다,좁다
쪼빡,바가지
쪽,바로
쪽니,덧니
쪽박샘,박우물
쪽배기,바가지
쪽제비,족제비
쪽주개,족집게
쪽줍개,족집게
쪽지,죽지
쪽지개,벼훑이
쪽지비,족제비
쪽집개틀,벼훑이
쪽집게,족집게
쪽찌개,벼훑이
쪽찌깨,벼훑이
쫄,부추
쫄랑박,조롱박
쫄랑이,까불이
쫌,좀
쫌처럼,좀처럼
쫍다,좁다
쫍쌀,좁쌀
쫑고리,종구라기
쫑골박,바가지
쫑그레미,종구라기
쫑니,덧니
쫑마루,종마루
쫓기나다,쫓겨나다
쫓어내다,쫓아내다
쫵,자갈
쬐꼼,조금
쬐꼼,조금
쬐끼,조끼
쬐끼주머니,주머니
쬧기다,쫓기다
쭈구럼살,주름살
쭈구렁살,주름살
쭈구레기,쭉정이
쭈구링이,쭈그렁이
쭈굴음살,주름살
쭈글씨다,쭈그리다
쭈름살,주름살
쭉데기,쭉정이
쭉정웃음,겉웃음
쭉징이,쭉정이
쭐쩍,찍
쭐쩍쭐쩍,찍찍
쯕다,작다
찌개,벼훑이
찌개다,찢다
찌개다,쪼개다
찌개바늘,도깨비바늘
찌개바심,벼훑이
찌게미,지게미
찌게미,비듬
찌게찌게,곤지곤지
찌게찌게,곤지곤지
찌게틀,집게틀
찌기미,지게미
찌깅이,겨
찌깨,그네
찌깨,벼훑이
찌껑,밑싣개
찌꽁찌꽁,곤지곤지
찌꽁찌꽁,곤지곤지
찌끄리기,찌꺼기
찌끄매,조금
찌끄매,조금
찌다,끼다
찌다,찧다
찌드랗다,기다랗다
찌르다,길다
찌리,끼리
찌리다,지리다
찌린내,지린내
찌미,기미
찌보,째보
찌스레기,지스러기
찌스리기,지스러기
찌얹다,끼얹다
찌우뚱,기우뚱
찌울다,기울다
찌울르다,기울다
찌울리다,기울이다
찌울어지다,기울어지다
찌웃대다,기웃대다
찌이다,끼이다
찌지다,지지다
찌풋찌풋하다,쭈뼛쭈뼛하다
찍뿌리,칡뿌리
찍하다,끽하다
찐대기,도깨비바늘
찐데기가시나무,도깨비바늘
찐디기,진드기
찐찐,곤지곤지
찐찐,곤지곤지
찔다,길다
찔러박다,남의 잘못이나 비밀 따위를 남에게 고하다
찔룩이다,끼룩거리다
찔룩찔룩,끼룩끼룩
찔룩찔룩하다,끼룩끼룩하다
찜매다,잡아매다
찝어까다,꼬집다
찡구찡구,단짝
찡기다,끼이다
찢다,쓿다
찣기다,씻기다
찣다,씻다
찦세기,짚신
차가집,초가집
차구,덫
차굽다,차갑다
차귀,덫
차급다,차갑다
차레,사레
차수숙,차조
차스슥,차조
차우,덫
착,책
찬뱁,찬밥
찬장이,살강
찬지름,참기름
찰그머리,찰거머리
찰금저리,찰거머리
찰름찰름,잘름잘름
찰몽싱이,찹쌀에 새순을 넣어 버무려서 시루에 찐 떡
찰베,찰벼
찰스슥,차조
참,짬
참그이,참게
참기다,잠기다
참꼿,진달래꽃
참꽃술,진달래술
참꽤,참깨
참낭구,참나무
참대나물,죽순
참대미,대나무로 만든 긴 막대기
참딸기,산딸기
참빚,참빗
참새,억새보다 키가 작고 줄기는 가늘며 윤이 나는 질긴 풀의 일종
참애,참외
참오이,참외
참외봉텡이,작고 못생긴 참외
참우,참외
참우막,참외밭을 지키기 위하여 밭머리에 지은 막
참위,참외
참이,참외
참이막,참외밭을 지키기 위하여 밭머리에 지은 막
참자리,잠자리
참중낭구,참중나무
참지름,참기름<DR /> 제주 지역에서는 지름’으로도 적는다.
참챔이,짬짬이
찹쌀부끼미,찹쌀로 만든 부꾸미
찹체기,"주로 빨래를 담는 데 쓰는, 넓죽하게 생긴 질그릇"
창개구락지,청개구리
창구다,잠그다
창꽃,진달래
창꾸비,순대
창뀌비,순대
창사,창자
창사구,창자
창살,작살
창새기,창자
창시기,창자
창장이,살강
창재기,창자
채고,가장
채널다,말리려고 널어놓은 것을 뒤집어서 다시 널다
채농,채롱
채다보다,쳐다보다
채둘개미,광주리
채마,나물
채무다,잠그다
채상,개상
채상질,개상질
채상틀,개상
채활,최활
책괴,책궤
책다르미,책씻이
책다리미,책씻이
챈지름,참기름
챔기름,참기름
챔빗,참빗
챗상,개상
챙,반찬
챙구다,잠그다
챙궈지다,잠기다
챙이,키
챙이,참외
챙자,창자
처마끝,기스락
처맛물,낙숫물
처망물,낙숫물
처매물,낙숫물
처맷물,낙숫물
처진새,동남동풍
천취,그네
천치,그네
천치기,그네
철,번철
철뚝꼿,철쭉꽃
철알,탄알
철축꽃,철쭉꽃
철칙꽃,철쭉꽃
철푸데기,철퍼덕
철푸디기,철퍼덕
첫물,애벌
청게,층계
청뜰,뜰
청매기덤뿔,청미래덩굴
청미랫덤불,청미래덩굴
청밍개덩쿨,청미래덩굴
청벽,깎아지른 듯이 험한 바위 언덕
청북장,청국장
청테,이끼
체,키
체꼉,체경
체신,최신
체키화,접시꽃
쳉벽,벼랑
쳉이,키
초갈이,초벌갈이
초롱,새장
초롱거리다,초롱초롱하다
초롱박,조롱박
초마,처마
초마물,낙숫물
초맛물,낙숫물
초맷물,낙숫물
초물,초벌
초보름,삭망
초새벽,어둑새벽
초석자리,돗자리
초성,샛별
초성별,샛별
초신,짚신
초저녁별,샛별
초지녁별,샛별
초지량,양념간장
초치래기,회초리
초하루보롬,삭망
초하루보름,삭망
촉박,조롱박
촌시럽다,촌스럽다
촐랭이,촐랑이
촐링이,촐랑이
총각무수,총각무
총각짐치,총각김치
최,어레미
최,체
추근물,낙숫물
추냐,추녀
추념,추녀
추녓물,낙숫물
추다,어떤 일을 해야 할 양보다 적게 하다
추다,처지다
추마,처마
추마물,낙숫물
추망,추녀
추물,낙숫물
추사장,취사장
추석비심,추석빔
추성거리다,머뭇거리다
추어오르다,치오르다
추에,추위
추움,추위
추이,추위
추자,가래
추지다,떨어지다
추축이,축축이
추칙이,축축이
추침,취침
추향,취향
축시다,축이다
축췩이,축축이
춘설각,추녀각
춤,침
춤치다,춤추다
충각짐치,총각김치
충그리다,지체하다
취,추위
취이,추위
취해주다,뀌어주다
췩이다,축이다
츠녀,처녀
츠녑,처녑
츠매,처마
츠신,처신
츠음,처음
츠지,처지
츤덕꾸리기,천덕꾸러기
츤의,솜이불
츤츤히,천천히
츰,처음
층층다랑이,다랑이
치,키
치,키
치,어레미
치,도끼
치겡,체경
치경,체경
치귀,덫
치급,취급
치까불다,까불다
치다,볏단을 말리기 위하여 이삭 쪽을 위로 맞대고 뿌리 쪽은 띄워서 줄을 지어 세우다
치다,뿌리다
치다보다,쳐다보다
치대,최대
치러,치리
치렵다,주체스럽다
치로,치료
치륵치륵,키득키득
치매,치마
치소,최소
치중,체중
치질하다,키질하다
칙간,측간
칙갈맞다,칙살맞다
칙백낭구,측백나무
칠개이,칡
칠거지,칡
칠거지넝쿨,칡넝쿨
칠거지덤불,칡덤불
칠거지덩굴,칡덩굴
칠거지뿌리,칡뿌리
칠거지뿌링이,칡뿌리
칠성고기,뱀장어
칠월낭구,여름에 해 두었다가 겨울에 때는 나무
칠칠하다,그득하다
칡뿌징이,칡뿌리
침재이,침쟁이
침칭,저울
카라,칼라
카수,가수
카토리,까투리
칼구,갈퀴
칼구리,갈고리
칼국수,수제비
칼도막,도마
칼뚝제비,수제비
칼치,갈치
칼쿠리,갈퀴
칼퀴,갈퀴
칼큼하다,칼칼하다
칼토막,도마
칼토막,칼도마
칼토매기,칼도마
캐할하다,쾌활하다
캥이,괭이
커나다,자라다
커드맣다,커다랗다
커리,켤레
컷구멩이,콧구멍
케떡,켜떡
케떡,시루떡
켈레,켤레
켜레,켤레
코가림매,인중
코구녁,콧구멍
코따그링이,코딱지
코딱징이,코딱지
코때기,코빼기
코뚜리,코뚜레
코맹매기,코맹맹이
코삐,고삐
코짱배기끈,굴레
코통,콧등
콧고멍,콧구멍
콧구녁셤,코털
콧구녕,콧구멍
콧구먹,콧구멍
콧구몽,콧구멍
콧궁기,콧구멍
콧셤,콧수염
콧소욤,콧수염
콧속털,코털
콧쉬엄,콧수염
콧시엄,콧수염
콧잔드이,콧잔등이
콧잔딩이,콧잔등이
콩구물,콩고물
콩나물콩,기름콩
콩너물,콩나물
콩너물국,콩나물국
콩너물밥,콩나물밥
콩멀국,콩국
콩지럼,콩기름
콩지룸,콩기름
콩질굼,콩나물
콩질금,콩나물
콰다,꼬다
쾌,깨
쾡,콩
쾡가리,꽹과리
쾡매기,꽹과리
쾡이,괭이
쾡이,고양이
쿠발찌,발찌
쿤내,쿠린내
퀴,키
크다분해다,커다랗다
크린내,쿠린내
크막크막하다,큼직큼직하다
크막하다,큼지막하다
큰땅게,방아깨비
큰손구락,가운뎃손가락
큰아부지,큰아버지
큰아부지,큰아버지
큰애기,처녀
큰애기씨,시누이
큰어머이,큰어머니
큰어머이,큰어머니
큰자,자치기를 할 때 쓰는 긴 막대기
큰작은아버지,작은아버지
큰작은아버지,작은아버지
큰잣대,자치기를 할 때 쓰는 긴 막대기
큰질,큰길
큰짐성,큰짐승
큰참나무,상수리나무
키다,켜다
타개지다,터지다
타라매다,고개를 힘없이 숙이다
타라박,두레박
타래미,다람쥐
타래박,두레박
타래방,똬리
타럼쥐,다람쥐
타레박샘,두레우물
타레박샴,두레우물
타르박,두레박
타리고재이,고쟁이
타리고쟁이,고쟁이
타리박,두레박
타리박샘,두레우물
타리박샴,두레우물
타분데기,솜먼지
타분새기,솜먼지
타줄,봇줄
탈구,탈곡
탈국기,탈곡기
탈패이,달팽이
탈팽이,달팽이
탑새기,솜먼지
탑세기,솜먼지
탑세기,쓰레기
탑시기,솜먼지
탑시기,"까끄라기, 검부러기, 티끌 따위를 통틀어 이르는 말"
탑쎄기,먼지
탕갱이,탕개
탕깅이,탕개
태거리,터거리
태걸,터거리
태구리,터거리
태꺼리,터거리
태아리,터거리
태조가리,턱주가리
태침,퇴침
터가리,턱주가리
터가지,턱주가리
터거리,터무니
터구리,턱
터리기,털
터문셍이,터무니
터카리,턱주가리
턱받개,턱받이
턱배기,턱주가리
턱수거리,턱
턱숭이,턱주가리
턱쉬엄,턱수염
턱시엄,턱수염
턱아리,턱주가리
턱저구니,턱주가리
턱주갱이,턱주가리
턱패기,턱
털링이,털털이
털뱅이,누더기
털푸디기,털퍼덕
테거리,턱
테거리,턱주가리
테낑이,토끼
텍셤,턱수염
텍소가리,턱주가리
텍쇰,턱수염
텍수가리,턱주가리
텍숭이,턱주가리
텟도리,툇도리
텟돌,툇돌
토강,못
토골,징두리
토깨이,토끼
토깽이,토끼’를 귀엽게 이르는 말
토깽이,어린아이’를 귀엽게 이르는 말
토낑이,토끼
토마,도마
토막,목침
토막집,통나무집
토매,토마루
토매기,목침
토방,뜰
토방,미장이
토범,표범
토산붕알,토산불알
토시,토수’ 방언
토장길,소로
토캐이,토끼
토캥이,토끼
톡수가리,턱주가리
톱,덫
톳,덫
통갑질,소꿉질
통개,단지
통고바리,소꿉질
통곰배,곰방메
통곱파리,소꿉질
통구리,바람
통구바리,소꿉장난
통구방,소꿉질
통구절,절구
통굽놀이,소꿉놀이
통굽장,소꿉장난
통두리째,송두리째
통서리,바람
통싯간,뒷간
통통기,방아
통통장,청국장
퇴깽이,토끼
